"name","phone","website","email","address","rating"
"ID Kpop Store","0821-3088-6587","","","Jl. Graha Bukit Raya III No.23 Blok.D4, RT.03/RW.025, Cilame, Kec. Ngamprah, Kabupaten Bandung Barat, Jawa Barat 40552","5"
"Original Kpop","","","","Balubur Town Square, Jl. Prof. Dr. Mochtar Kusumaatmadja, Tamansari, Bandung Wetan, Bandung City, West Java 40116","0"
"K-POP FAN STORE","0899-3208-200","https://instagram.com/kpopfanstore.id","","Jl. Pelajar Pejuang 45 No.35, South Lingkar, Lengkong, Bandung City, West Java 40263","4.8"
"Fan Stuff Shop (Kpop Store)","0898-6873-731","http://instagram.com/fanstuffshop","","Baltos, Balubur Town Square, Jl. Tamansari Lantai 1 Blok G-11, Tamansari, Kec. Bandung Wetan, Kota Bandung, Jawa Barat 40116","4.4"
"KPOP Warehouse","0878-2293-5629","","","Jl. Tujuh Belas Caringin No.5, RT.01/RW.06, Babakan Ciparay, Kec. Babakan Ciparay, Kota Bandung, Jawa Barat 40223","5"
"Lafrere kpop store Bandung ( kings bandung lt3)","","https://shopee.co.id/lafrere.id","","3JG4+Q22 Lafrere kpop store Bandung ( kings bandung lt3), kings bandung, Balonggede, Kec. Regol, Kota Bandung, Jawa Barat 40251","3"
"Room 23 Merch Store","","","","Jl. Anggrek No.34, Merdeka, Sumurbandung, Bandung City, West Java 40113","4.6"
"SUNSUN KPOP WORLD","0878-2326-0618","","","Jl. Pasir Muara I Blok RE No.10, Mekarjaya, Kec. Rancasari, Kota Bandung, Jawa Barat 40287","5"
"Toko Album Kpop Chagi_id","0838-9937-0836","https://shopee.co.id/ghinnada","","Gg. Sekepondok Indah No.8, Padasuka, Kec. Cibeunying Kidul, Kota Bandung, Jawa Barat 40125","3"
"Kpop Stars","0856-2433-8219","","","Lotte Mart, Jl. Peta Lantai 2, Suka Asih, Kec. Bojongloa Kaler, Kota Bandung, Jawa Barat 40231","0"
"Daebak Kpop Shop / Kiminara","","http://shopee.co.id/daebakkpopshop","","Pesona Boma Asri, Jl. Bojongmalaka No.1 Blok B3, Bojongmalaka, Kec. Baleendah, Kabupaten Bandung, Jawa Barat 40258","5"
"Kimso","0811-2226-112","","","Mall The Kings Shopping Centre, Jl. Kepatihan No.11 - 17 Lantai 4, Balonggede, Kec. Regol, Kota Bandung, Jawa Barat 40251","4.5"
